Rider_ID,Subcounty_ID,Subcounty,Latitude,Longitude,Daily_Distance_km,Daily_Income_KES,Income_Volatility,Distance_to_BSS_km,Petrol_Daily_Cost_KES,Electric_Daily_Cost_KES,PAYG_Daily_Payment_KES,Net_Savings_KES,Default_Probability,Default_Indicator,Churn_Probability,Churn_Indicator
RID-0011,SC-DAGORETTI,Dagoretti,-1.27423432388048,36.733679105435655,88.9,1117.0,0.106,1.47,558.0,339.0,450.0,219.0,0.0072,0,0.2406,0
RID-0012,SC-EMBAKASI,Embakasi,-1.3080775844611803,36.890754494225895,71.6,918.0,0.137,0.92,459.0,275.0,450.0,184.0,0.0139,0,0.2176,0
RID-0013,SC-KAMUKUNJI,Kamukunji,-1.2936899245486462,36.83881655753063,73.8,1051.0,0.308,1.33,472.0,283.0,450.0,189.0,0.0222,0,0.3397,0
RID-0014,SC-MATHARE,Mathare,-1.2555573245673257,36.85542502756673,66.1,952.0,0.153,1.13,428.0,255.0,450.0,173.0,0.0149,0,0.2283,0
RID-0015,SC-KASARANI,Kasarani,-1.1948848774885295,36.88210785395561,79.5,1002.0,0.121,2.68,504.0,304.0,450.0,200.0,0.0176,0,0.2902,0
RID-0016,SC-KASARANI,Kasarani,-1.2237374328832271,36.89120537883451,67.3,935.0,0.191,0.68,434.0,259.0,450.0,176.0,0.0158,0,0.232,0
RID-0017,SC-MATHARE,Mathare,-1.2310604423129254,36.868931095530236,88.6,967.0,0.154,2.05,556.0,338.0,450.0,218.0,0.0174,0,0.2932,0
RID-0018,SC-MATHARE,Mathare,-1.2393631092106272,36.83528879253926,53.2,1042.0,0.088,1.7,354.0,207.0,450.0,147.0,0.0109,0,0.2038,0
RID-0019,SC-MATHARE,Mathare,-1.2546589946826148,36.88279261591247,74.6,801.0,0.158,2.2,476.0,286.0,450.0,190.0,0.0336,0,0.2854,0
RID-0020,SC-MATHARE,Mathare,-1.2583543202144916,36.88630960750131,84.5,797.0,0.211,2.09,533.0,323.0,450.0,210.0,0.0393,0,0.3262,0
RID-0021,SC-MATHARE,Mathare,-1.2703457690020075,36.89318694880372,82.8,722.0,0.212,0.56,523.0,316.0,450.0,207.0,0.0299,0,0.2559,0
RID-0022,SC-KIBRA,Kibra,-1.2690220375276149,36.7777432287912,120.4,680.0,0.166,1.84,738.0,455.0,450.0,283.0,0.0358,0,0.3315,0
RID-0023,SC-MATHARE,Mathare,-1.2689100504280155,36.894067689542354,85.2,757.0,0.187,0.69,537.0,325.0,450.0,212.0,0.0249,0,0.2499,0
RID-0024,SC-MATHARE,Mathare,-1.2284085570853858,36.85454279945694,64.9,1032.0,0.312,3.46,421.0,250.0,450.0,171.0,0.0514,0,0.4411,1
RID-0025,SC-MATHARE,Mathare,-1.2684037363419172,36.859364307822794,78.6,821.0,0.171,0.97,499.0,301.0,450.0,198.0,0.0215,0,0.2448,1
RID-0026,SC-KAMUKUNJI,Kamukunji,-1.3118890102206855,36.82662696107032,53.4,1103.0,0.142,1.21,355.0,207.0,450.0,147.0,0.0096,0,0.2123,1
RID-0027,SC-KASARANI,Kasarani,-1.2400828153350414,36.884644048697915,78.8,1007.0,0.138,1.69,500.0,302.0,450.0,199.0,0.0133,0,0.2565,0
RID-0028,SC-MATHARE,Mathare,-1.2606936977477357,36.86968429465073,67.5,606.0,0.19,0.63,436.0,260.0,450.0,176.0,0.0429,1,0.2299,0
RID-0029,SC-MATHARE,Mathare,-1.2289899901437185,36.84503291918523,93.7,1131.0,0.262,3.06,586.0,357.0,450.0,229.0,0.0232,0,0.4253,0
RID-0030,SC-DAGORETTI,Dagoretti,-1.2733135520304681,36.73972022311549,71.8,1162.0,0.129,1.38,460.0,276.0,450.0,185.0,0.0073,0,0.2312,0
RID-0031,SC-MATHARE,Mathare,-1.2609892741930486,36.878496389843335,78.2,801.0,0.25,1.61,497.0,300.0,450.0,198.0,0.0404,0,0.3211,1
RID-0032,SC-KASARANI,Kasarani,-1.2424544404312459,36.90764819492368,70.5,1084.0,0.085,2.05,453.0,271.0,450.0,182.0,0.0097,0,0.2327,0
RID-0033,SC-DAGORETTI,Dagoretti,-1.2896709558357389,36.75384902528016,106.1,829.0,0.181,0.83,656.0,403.0,450.0,254.0,0.0183,0,0.2762,0
RID-0034,SC-EMBAKASI,Embakasi,-1.3042166271218436,36.94910600279822,75.2,1020.0,0.266,2.16,480.0,288.0,450.0,191.0,0.0269,0,0.3547,0
RID-0035,SC-EMBAKASI,Embakasi,-1.3227547996850264,36.88938006089996,107.5,747.0,0.161,1.22,664.0,408.0,450.0,257.0,0.0246,0,0.2833,0
RID-0036,SC-KAMUKUNJI,Kamukunji,-1.297462810528495,36.833890457616796,92.2,641.0,0.215,0.85,577.0,351.0,450.0,226.0,0.041,0,0.2812,0
RID-0037,SC-MATHARE,Mathare,-1.2727477425461304,36.888780330622154,87.2,923.0,0.129,0.74,548.0,333.0,450.0,216.0,0.0115,0,0.2225,0
RID-0038,SC-KIBRA,Kibra,-1.286589915040203,36.77358507412501,85.5,975.0,0.258,0.95,539.0,326.0,450.0,212.0,0.0188,0,0.3043,0
RID-0039,SC-STAREHE,Starehe,-1.2916471114620844,36.83442831112773,85.9,920.0,0.093,1.38,541.0,328.0,450.0,213.0,0.0124,0,0.2268,1
RID-0040,SC-MATHARE,Mathare,-1.2710444608856195,36.877658636355115,51.1,763.0,0.285,1.88,342.0,199.0,450.0,143.0,0.0654,1,0.3214,1
RID-0041,SC-KIBRA,Kibra,-1.310941539582974,36.75468511770005,75.8,920.0,0.128,2.22,483.0,291.0,450.0,193.0,0.0203,0,0.2695,0
RID-0042,SC-MATHARE,Mathare,-1.2290498959733989,36.90091755346191,92.7,1054.0,0.29,0.66,580.0,353.0,450.0,227.0,0.0147,0,0.32,0
RID-0043,SC-DAGORETTI,Dagoretti,-1.3052557738096877,36.73624596880128,79.3,991.0,0.165,0.34,503.0,303.0,450.0,200.0,0.0098,1,0.2176,0
RID-0044,SC-KAMUKUNJI,Kamukunji,-1.2792826921855018,36.85168913579974,58.9,1037.0,0.253,1.41,387.0,228.0,450.0,159.0,0.0203,0,0.2896,0
RID-0045,SC-MATHARE,Mathare,-1.2468291145465433,36.90520409077533,79.2,866.0,0.157,2.28,503.0,303.0,450.0,200.0,0.0275,0,0.2941,0
RID-0046,SC-STAREHE,Starehe,-1.278538944549881,36.80903405510924,105.6,1234.0,0.297,1.39,653.0,401.0,450.0,253.0,0.0104,0,0.3793,1
RID-0047,SC-MATHARE,Mathare,-1.2875863845602906,36.85038139920116,98.7,765.0,0.11,0.52,614.0,375.0,450.0,239.0,0.0153,0,0.2166,0
RID-0048,SC-MATHARE,Mathare,-1.260662539457476,36.90089115727036,79.1,1098.0,0.123,1.72,502.0,303.0,450.0,199.0,0.0094,0,0.2495,0
RID-0049,SC-MATHARE,Mathare,-1.2703522259807234,36.86947575903278,94.3,1236.0,0.198,1.2,589.0,359.0,450.0,230.0,0.0066,0,0.2894,1
RID-0050,SC-KASARANI,Kasarani,-1.220328457921455,36.92376786546896,74.5,1096.0,0.1,2.24,476.0,286.0,450.0,190.0,0.0105,0,0.2528,0
RID-0051,SC-EMBAKASI,Embakasi,-1.2594613514825277,36.88938262454159,54.4,959.0,0.127,1.84,361.0,211.0,450.0,150.0,0.0175,0,0.2296,0
RID-0052,SC-MAKADARA,Makadara,-1.3097887888503645,36.88088321754138,66.1,894.0,0.307,1.28,428.0,255.0,450.0,173.0,0.0367,0,0.3265,0
RID-0053,SC-EMBAKASI,Embakasi,-1.296362170207474,36.936934146514716,103.4,1207.0,0.314,0.57,641.0,393.0,450.0,248.0,0.0093,0,0.3463,0
RID-0054,SC-KAMUKUNJI,Kamukunji,-1.2733214362934806,36.83781415818426,75.9,715.0,0.17,1.44,484.0,291.0,450.0,193.0,0.0355,0,0.261,0
RID-0055,SC-MATHARE,Mathare,-1.248186903386154,36.88717407161166,76.3,806.0,0.302,2.3,486.0,292.0,450.0,194.0,0.063,0,0.3885,0
RID-0056,SC-NJIRU,Njiru,-1.2335903563760526,36.95014548062214,75.5,920.0,0.211,5.09,481.0,289.0,450.0,192.0,0.0761,0,0.4705,0
RID-0057,SC-KIBRA,Kibra,-1.2936665062082169,36.80838591180891,108.6,1248.0,0.145,0.66,670.0,412.0,450.0,259.0,0.0038,0,0.2507,0
RID-0058,SC-KASARANI,Kasarani,-1.1923568201792494,36.912974197751794,104.4,1076.0,0.249,1.11,647.0,396.0,450.0,250.0,0.0126,0,0.3301,1
RID-0059,SC-DAGORETTI,Dagoretti,-1.296342361606337,36.74693427372867,113.3,806.0,0.238,1.27,697.0,429.0,450.0,268.0,0.0283,0,0.3425,0
RID-0060,SC-MATHARE,Mathare,-1.2358698206698329,36.84866128658026,77.6,938.0,0.317,2.54,494.0,297.0,450.0,196.0,0.0486,0,0.4142,1
RID-0061,SC-MATHARE,Mathare,-1.252626533822542,36.85713322375346,84.4,877.0,0.144,1.2,532.0,322.0,450.0,210.0,0.0169,0,0.2458,1
RID-0062,SC-MATHARE,Mathare,-1.2594251035413038,36.89056903725215,57.3,858.0,0.241,1.8,377.0,222.0,450.0,155.0,0.0385,0,0.2976,0
RID-0063,SC-KAMUKUNJI,Kamukunji,-1.2811780186396018,36.845928730963124,102.2,1196.0,0.092,1.38,634.0,388.0,450.0,246.0,0.0048,0,0.2441,0
RID-0064,SC-MATHARE,Mathare,-1.2871971228195984,36.87992507132055,62.5,726.0,0.107,0.99,407.0,241.0,450.0,166.0,0.024,0,0.1966,0
RID-0065,SC-MATHARE,Mathare,-1.2470903163771785,36.90826509446611,83.3,1322.0,0.081,2.49,526.0,318.0,450.0,208.0,0.0049,0,0.2626,1
RID-0066,SC-MATHARE,Mathare,-1.26615556469906,36.86938300655328,63.5,1166.0,0.32,0.83,413.0,245.0,450.0,168.0,0.0145,0,0.3101,0
RID-0067,SC-KIBRA,Kibra,-1.3100123263257848,36.81654906559527,71.2,1218.0,0.273,1.17,457.0,273.0,450.0,183.0,0.0108,0,0.3056,1
RID-0068,SC-KAMUKUNJI,Kamukunji,-1.286905910647739,36.85058043051541,67.4,907.0,0.269,0.59,435.0,260.0,450.0,176.0,0.0235,0,0.2724,1
RID-0069,SC-DAGORETTI,Dagoretti,-1.280842069805669,36.747732182463125,70.9,970.0,0.202,0.46,455.0,272.0,450.0,183.0,0.0135,0,0.2335,1
RID-0070,SC-EMBAKASI,Embakasi,-1.3189286722910105,36.90388179985796,71.9,713.0,0.152,0.73,461.0,276.0,450.0,185.0,0.0265,0,0.2184,0
RID-0071,SC-MAKADARA,Makadara,-1.2785273650028046,36.839469694011775,71.8,895.0,0.116,1.66,460.0,276.0,450.0,185.0,0.0176,0,0.2352,0
RID-0072,SC-KASARANI,Kasarani,-1.2173406065170624,36.88599758370122,92.5,1099.0,0.148,0.34,579.0,352.0,450.0,226.0,0.0061,0,0.2229,0
RID-0073,SC-WESTLANDS,Westlands,-1.241099067421503,36.76953626190432,63.4,1259.0,0.17,3.5,412.0,245.0,450.0,168.0,0.014,0,0.3404,0
RID-0074,SC-KAMUKUNJI,Kamukunji,-1.2961784369454317,36.85254423750129,83.3,779.0,0.262,0.47,526.0,318.0,450.0,208.0,0.0302,0,0.2817,0
RID-0075,SC-MAKADARA,Makadara,-1.2686895194153132,36.85868499477854,98.3,927.0,0.21,1.04,612.0,374.0,450.0,238.0,0.0171,0,0.2937,0
RID-0076,SC-MAKADARA,Makadara,-1.311103990533864,36.89762314138881,72.3,970.0,0.099,0.11,463.0,278.0,450.0,186.0,0.0075,0,0.1723,0
RID-0077,SC-MAKADARA,Makadara,-1.328960278008325,36.8160238808676,69.2,721.0,0.084,2.47,446.0,266.0,450.0,179.0,0.0352,0,0.2477,0
RID-0078,SC-DAGORETTI,Dagoretti,-1.2841997109989334,36.73395891551295,76.5,1118.0,0.105,1.56,487.0,293.0,450.0,194.0,0.0078,0,0.2303,1
RID-0079,SC-MATHARE,Mathare,-1.2804246563426143,36.87916712894599,97.7,855.0,0.179,1.53,608.0,371.0,450.0,237.0,0.0221,0,0.2962,0
RID-0080,SC-KIBRA,Kibra,-1.310123985724576,36.77371842738526,82.9,961.0,0.304,1.03,524.0,317.0,450.0,207.0,0.025,0,0.3347,0
RID-0081,SC-KAMUKUNJI,Kamukunji,-1.3106060879734178,36.8624491465656,72.0,910.0,0.233,1.95,462.0,277.0,450.0,185.0,0.0309,0,0.3178,0
RID-0082,SC-STAREHE,Starehe,-1.2619959764408266,36.82301648272441,87.3,842.0,0.272,0.79,549.0,333.0,450.0,216.0,0.0284,0,0.3079,1
RID-0083,SC-MATHARE,Mathare,-1.2230672600790466,36.84359830467348,63.5,999.0,0.192,3.26,413.0,245.0,450.0,168.0,0.032,0,0.3433,1
RID-0084,SC-DAGORETTI,Dagoretti,-1.3235105034184946,36.73016183860238,90.2,957.0,0.167,1.14,566.0,344.0,450.0,222.0,0.0138,0,0.2629,0
RID-0085,SC-MATHARE,Mathare,-1.26091172032711,36.86986678898646,86.1,926.0,0.106,0.65,542.0,329.0,450.0,213.0,0.01,0,0.2066,0
RID-0086,SC-MATHARE,Mathare,-1.2648247211571266,36.872041107930286,75.4,854.0,0.29,0.99,481.0,289.0,450.0,192.0,0.0335,0,0.3138,0
RID-0087,SC-MAKADARA,Makadara,-1.3250307884838088,36.888875292081465,67.4,1064.0,0.268,1.43,435.0,259.0,450.0,176.0,0.0191,0,0.3099,0
RID-0088,SC-STAREHE,Starehe,-1.2766430235678512,36.84734591663177,66.7,1331.0,0.12,1.78,431.0,257.0,450.0,174.0,0.0048,0,0.237,1
RID-0089,SC-KAMUKUNJI,Kamukunji,-1.2781454930724458,36.85413506438307,88.0,1028.0,0.203,1.56,553.0,336.0,450.0,217.0,0.0152,0,0.3007,0
RID-0090,SC-MATHARE,Mathare,-1.248604654395356,36.873954171200346,98.4,1199.0,0.197,1.77,612.0,374.0,450.0,238.0,0.0088,0,0.32,0
RID-0091,SC-KIBRA,Kibra,-1.302145544802649,36.81158305060264,70.4,722.0,0.23,0.52,453.0,271.0,450.0,182.0,0.0339,0,0.2504,0
RID-0092,SC-MAKADARA,Makadara,-1.2960695766059707,36.87418007515177,86.9,1032.0,0.307,1.25,546.0,331.0,450.0,215.0,0.0214,0,0.3527,1
RID-0093,SC-MAKADARA,Makadara,-1.3017947138857446,36.88880234430899,48.7,781.0,0.219,0.52,328.0,190.0,450.0,138.0,0.0301,0,0.2215,0
RID-0094,SC-MATHARE,Mathare,-1.2735278460411854,36.90101880865822,71.2,705.0,0.21,0.52,457.0,274.0,450.0,183.0,0.0327,0,0.2401,0
RID-0095,SC-MAKADARA,Makadara,-1.300803159012887,36.831384497957636,79.5,852.0,0.092,0.62,504.0,304.0,450.0,200.0,0.0122,0,0.1924,1
RID-0096,SC-MATHARE,Mathare,-1.2574379117017842,36.851378966850504,66.4,1238.0,0.095,0.93,429.0,256.0,450.0,174.0,0.0043,0,0.1925,0
RID-0097,SC-MATHARE,Mathare,-1.2431871290202254,36.85194752041395,66.0,1190.0,0.125,1.92,427.0,254.0,450.0,173.0,0.0081,0,0.2444,0
RID-0098,SC-MATHARE,Mathare,-1.2689236686642955,36.82720918538109,70.0,1049.0,0.088,0.36,450.0,269.0,450.0,181.0,0.0061,0,0.1735,0
RID-0099,SC-DAGORETTI,Dagoretti,-1.3020461263849814,36.69552241346742,84.4,693.0,0.258,2.72,532.0,322.0,450.0,210.0,0.081,0,0.3909,0
RID-0100,SC-KIBRA,Kibra,-1.3466780564697145,36.800208293122886,77.2,961.0,0.254,1.77,491.0,296.0,450.0,195.0,0.0266,0,0.3297,0
RID-0101,SC-DAGORETTI,Dagoretti,-1.2772839968269833,36.7525091512357,46.4,1060.0,0.113,0.99,315.0,182.0,450.0,134.0,0.0093,0,0.1844,0
RID-0102,SC-STAREHE,Starehe,-1.2943395228625842,36.82404577287716,48.2,1035.0,0.281,0.44,325.0,188.0,450.0,137.0,0.0173,0,0.2506,0
RID-0103,SC-MATHARE,Mathare,-1.2600720507818113,36.84183270621615,70.9,631.0,0.117,0.26,455.0,272.0,450.0,183.0,0.0252,0,0.1842,0
RID-0104,SC-MATHARE,Mathare,-1.229932033964657,36.882547245811516,86.9,822.0,0.152,0.92,546.0,331.0,450.0,215.0,0.0187,0,0.2418,1
RID-0105,SC-KAMUKUNJI,Kamukunji,-1.2894192834765932,36.84553771677989,38.8,987.0,0.14,0.77,272.0,154.0,450.0,118.0,0.0127,0,0.1825,0
RID-0106,SC-MATHARE,Mathare,-1.255832343841049,36.82416530263151,72.5,1107.0,0.169,1.46,464.0,278.0,450.0,186.0,0.0106,0,0.2577,0
RID-0107,SC-MATHARE,Mathare,-1.2649435476504118,36.85136031504005,72.1,561.0,0.141,1.21,462.0,277.0,450.0,185.0,0.0474,0,0.2312,0
RID-0108,SC-MAKADARA,Makadara,-1.3200324001978982,36.85437799414228,100.8,968.0,0.197,1.37,626.0,383.0,450.0,243.0,0.0157,0,0.3046,0
RID-0109,SC-MATHARE,Mathare,-1.2240462694630097,36.87781685722534,74.2,1029.0,0.178,0.83,474.0,285.0,450.0,190.0,0.0113,0,0.2383,1
RID-0110,SC-DAGORETTI,Dagoretti,-1.3044235797956558,36.75545165562712,85.7,1170.0,0.317,1.88,540.0,327.0,450.0,213.0,0.0181,0,0.3904,0
RID-0111,SC-MATHARE,Mathare,-1.23201289126828,36.88349267365826,82.1,1139.0,0.093,1.13,519.0,314.0,450.0,205.0,0.0058,0,0.2137,0
RID-0112,SC-KASARANI,Kasarani,-1.2188073926015965,36.88706126444589,48.0,1117.0,0.114,0.23,325.0,188.0,450.0,137.0,0.0059,0,0.1625,0
RID-0113,SC-EMBAKASI,Embakasi,-1.2960355337277283,36.907869707708436,91.5,840.0,0.093,1.7,573.0,349.0,450.0,224.0,0.0174,0,0.2456,0
RID-0114,SC-KAMUKUNJI,Kamukunji,-1.2670961355994452,36.85770343603364,83.2,618.0,0.23,0.97,526.0,318.0,450.0,208.0,0.0511,0,0.2851,0
RID-0115,SC-STAREHE,Starehe,-1.2540089456936132,36.814295295768794,87.6,921.0,0.093,1.6,551.0,334.0,450.0,216.0,0.0132,0,0.2372,0
RID-0116,SC-KAMUKUNJI,Kamukunji,-1.2586521186873134,36.848951992093845,138.9,1200.0,0.281,0.67,844.0,524.0,450.0,320.0,0.0071,0,0.3766,1
RID-0117,SC-KAMUKUNJI,Kamukunji,-1.2434947825474947,36.83121624363821,48.7,1279.0,0.203,1.29,329.0,190.0,450.0,138.0,0.0076,0,0.2428,0
RID-0118,SC-KASARANI,Kasarani,-1.185280723936695,36.90395821566925,105.9,1142.0,0.206,2.34,655.0,402.0,450.0,253.0,0.0129,0,0.3649,1
RID-0119,SC-KAMUKUNJI,Kamukunji,-1.2980283600722888,36.83532228331891,75.7,1086.0,0.215,0.78,483.0,290.0,450.0,192.0,0.0108,0,0.2585,1
RID-0120,SC-MATHARE,Mathare,-1.2664069461638865,36.87348331892804,84.3,1076.0,0.121,1.21,532.0,322.0,450.0,210.0,0.0082,0,0.2337,0
RID-0121,SC-KAMUKUNJI,Kamukunji,-1.27454329023929,36.83352599992123,79.3,889.0,0.127,0.95,503.0,303.0,450.0,200.0,0.0142,0,0.2216,1
RID-0122,SC-KAMUKUNJI,Kamukunji,-1.2854870918452195,36.887845407172236,73.6,974.0,0.157,0.61,471.0,282.0,450.0,188.0,0.0113,0,0.2181,1
RID-0123,SC-MATHARE,Mathare,-1.2254491365979858,36.87372647339348,71.5,1334.0,0.222,1.31,458.0,274.0,450.0,184.0,0.0063,0,0.2812,1
RID-0124,SC-KIBRA,Kibra,-1.314239930436636,36.787400626534364,84.9,811.0,0.13,0.28,535.0,324.0,450.0,211.0,0.0142,0,0.2041,1
RID-0125,SC-MATHARE,Mathare,-1.2477296405453917,36.84454414869603,57.2,1323.0,0.108,1.15,377.0,222.0,450.0,155.0,0.0039,0,0.1976,1
RID-0126,SC-MATHARE,Mathare,-1.265147530748467,36.83162831852245,91.3,936.0,0.313,0.95,571.0,348.0,450.0,224.0,0.0263,0,0.3478,0
RID-0127,SC-KAMUKUNJI,Kamukunji,-1.2770155375478944,36.85794391879406,73.8,1265.0,0.085,1.79,471.0,283.0,450.0,189.0,0.0049,0,0.2261,0
RID-0128,SC-KAMUKUNJI,Kamukunji,-1.2946637292459875,36.8764797352658,63.0,719.0,0.273,1.06,410.0,243.0,450.0,167.0,0.0513,0,0.2906,1
RID-0129,SC-WESTLANDS,Westlands,-1.2895153132600468,36.7707125023958,73.2,1117.0,0.269,1.29,469.0,281.0,450.0,188.0,0.015,0,0.3114,1
RID-0130,SC-MATHARE,Mathare,-1.2555109636288007,36.88594196605224,98.9,853.0,0.151,2.39,615.0,376.0,450.0,239.0,0.0264,0,0.3205,0
RID-0131,SC-MATHARE,Mathare,-1.2263214461708427,36.855822314742625,72.0,717.0,0.113,3.28,461.0,276.0,450.0,185.0,0.052,0,0.3032,0
RID-0132,SC-MATHARE,Mathare,-1.238426383331374,36.864229830609986,85.4,1044.0,0.115,2.51,538.0,326.0,450.0,212.0,0.0137,0,0.2861,0
RID-0133,SC-KIBRA,Kibra,-1.3184525459988163,36.80267319874973,69.0,1202.0,0.247,1.68,444.0,265.0,450.0,179.0,0.0122,0,0.3105,0
RID-0134,SC-MATHARE,Mathare,-1.2469535424317315,36.83347215686032,91.4,831.0,0.234,1.62,572.0,348.0,450.0,224.0,0.0324,0,0.3283,0
RID-0135,SC-EMBAKASI,Embakasi,-1.2804691930054821,36.927601827082945,90.3,700.0,0.268,1.52,566.0,344.0,450.0,222.0,0.0543,0,0.3444,1
RID-0136,SC-MATHARE,Mathare,-1.2725112540301906,36.87291607066875,107.7,982.0,0.305,1.62,666.0,409.0,450.0,257.0,0.0255,0,0.3996,1
RID-0137,SC-MATHARE,Mathare,-1.2501193962743453,36.87021347531648,77.4,983.0,0.246,1.39,492.0,296.0,450.0,196.0,0.0211,0,0.3069,0
RID-0138,SC-MAKADARA,Makadara,-1.3110061030769085,36.84656753264124,90.0,1110.0,0.117,0.21,564.0,343.0,450.0,221.0,0.0049,0,0.2,0
RID-0139,SC-MATHARE,Mathare,-1.2605110814198288,36.888454580385186,81.5,1190.0,0.138,1.77,516.0,311.0,450.0,204.0,0.0076,0,0.263,0
RID-0140,SC-EMBAKASI,Embakasi,-1.2991279969081113,36.892587713358274,99.4,988.0,0.282,0.84,618.0,378.0,450.0,240.0,0.018,0,0.3328,1
RID-0141,SC-EMBAKASI,Embakasi,-1.294566025787033,36.843029147587394,69.2,1371.0,0.13,1.04,446.0,266.0,450.0,179.0,0.0034,0,0.2161,0
RID-0142,SC-MATHARE,Mathare,-1.237024685992558,36.83020572442444,91.2,1045.0,0.097,1.2,571.0,347.0,450.0,224.0,0.0078,0,0.2278,1
RID-0143,SC-MATHARE,Mathare,-1.2672488188280626,36.84260660210748,77.1,931.0,0.249,1.03,490.0,295.0,450.0,195.0,0.0222,0,0.2915,1
RID-0144,SC-MATHARE,Mathare,-1.285893629514418,36.888216535747574,79.0,678.0,0.177,0.57,502.0,302.0,450.0,199.0,0.0301,0,0.2325,0
RID-0145,SC-MATHARE,Mathare,-1.2693540240262378,36.871930077634616,81.4,947.0,0.301,1.28,515.0,311.0,450.0,204.0,0.0282,0,0.3428,0
RID-0146,SC-DAGORETTI,Dagoretti,-1.2939384115775836,36.753540816544465,83.8,933.0,0.236,1.17,529.0,320.0,450.0,209.0,0.0211,0,0.2983,0
RID-0147,SC-MATHARE,Mathare,-1.258463562178795,36.83934015551623,78.3,1192.0,0.102,0.41,497.0,300.0,450.0,198.0,0.004,0,0.1887,0
RID-0148,SC-MATHARE,Mathare,-1.2400746636110571,36.85512486833677,83.2,1092.0,0.307,2.41,526.0,318.0,450.0,208.0,0.0269,0,0.408,1
RID-0149,SC-DAGORETTI,Dagoretti,-1.3241316379731949,36.73543769678068,103.7,764.0,0.142,1.72,642.0,394.0,450.0,249.0,0.0259,0,0.2894,1
RID-0150,SC-MATHARE,Mathare,-1.2299848041873138,36.88200443484227,94.8,1034.0,0.161,0.95,592.0,361.0,450.0,231.0,0.0096,0,0.2566,1
RID-0151,SC-KAMUKUNJI,Kamukunji,-1.291973042688157,36.838014845913634,93.0,1134.0,0.177,1.49,582.0,354.0,450.0,227.0,0.0092,0,0.2872,0
RID-0152,SC-MATHARE,Mathare,-1.2664327010243477,36.90653495967122,73.2,1306.0,0.092,1.08,468.0,281.0,450.0,187.0,0.0035,0,0.2026,1
RID-0153,SC-KIBRA,Kibra,-1.307361290955369,36.79360083294382,66.7,1178.0,0.199,1.28,431.0,257.0,450.0,174.0,0.0094,0,0.2604,1
RID-0154,SC-MATHARE,Mathare,-1.2393943309193631,36.86977578318053,94.3,1152.0,0.11,2.49,589.0,359.0,450.0,230.0,0.009,0,0.2927,0
RID-0155,SC-EMBAKASI,Embakasi,-1.315180842916414,36.8960730030183,93.1,1012.0,0.176,0.23,582.0,355.0,450.0,228.0,0.0087,0,0.2341,1
RID-0156,SC-MATHARE,Mathare,-1.2614320251882813,36.86425555526981,102.1,1078.0,0.164,0.06,633.0,388.0,450.0,246.0,0.006,0,0.2302,0
RID-0157,SC-STAREHE,Starehe,-1.2604474091272604,36.82603891771615,70.9,1250.0,0.265,0.98,455.0,272.0,450.0,183.0,0.0088,0,0.292,0
RID-0158,SC-MAKADARA,Makadara,-1.2853471984556886,36.85838566839783,76.6,733.0,0.273,1.03,487.0,293.0,450.0,194.0,0.0454,0,0.3057,0
RID-0159,SC-MATHARE,Mathare,-1.2584272961936782,36.82503598630936,55.4,930.0,0.117,1.18,367.0,215.0,450.0,152.0,0.0145,0,0.2011,0
